,Cluster,id,cellType
5805,10,i1134,SPG
480,6,i1139,EC
3478,3,i114,LC
2684,14,i1140,SPG
4971,22,i1141,SPG
2058,11,i1142,St
2314,16,i1143,SPG
5169,13,i1144,SPG
4428,14,i1145,SPG
2031,20,i1146,SPG
4285,1,i1147,PTM
2179,11,i1148,St
3485,22,i1149,SPG
325,1,i115,PTM
1001,10,i1150,SPG
5244,8,i1151,SPC
1092,2,i1157,LC
2415,16,i1158,SPG
4895,14,i1159,SPG
7,10,i116,SPG
771,20,i1160,SPG
4507,8,i1161,SPC
800,8,i1162,SPC
3863,7,i1163,St
320,12,i1164,St
1098,20,i1165,SPG
107,18,i1166,SPG
3194,8,i1167,SPC
1141,11,i1168,St
3045,11,i1170,St
4743,9,i1175,SPG
1184,16,i1176,SPG
3202,2,i1177,LC
4093,10,i1178,SPG
240,2,i1179,LC
313,20,i118,SPG
1108,2,i1180,LC
5413,1,i1181,PTM
1659,2,i1182,LC
5752,1,i1183,PTM
5251,10,i1184,SPG
1749,0,i1185,PTM
4974,0,i1187,PTM
2227,8,i1188,SPC
4927,19,i119,SPG
4266,8,i1193,SPC
493,8,i1195,SPC
3558,24,i1196,PTM
3859,8,i1197,SPC
3976,20,i1199,SPG
1811,8,i12,SPC
5872,20,i120,SPG
665,8,i1200,SPC
5781,7,i1201,St
2310,14,i1203,SPG
3179,6,i1204,EC
5536,6,i1205,EC
838,20,i1206,SPG
1852,10,i121,SPG
198,2,i1211,LC
485,8,i1212,SPC
1142,2,i1213,LC
2276,20,i1214,SPG
4710,22,i1215,SPG
1103,2,i1216,LC
1697,2,i1217,LC
3608,2,i1218,LC
2980,0,i1219,PTM
4422,0,i122,PTM
1035,11,i1220,St
1158,0,i1221,PTM
3825,20,i1222,SPG
1111,19,i1223,SPG
2870,12,i1229,St
3089,6,i123,EC
4263,2,i1230,LC
3171,4,i1231,SPC
193,0,i1232,PTM
3413,10,i1233,SPG
5858,10,i1234,SPG
1002,8,i1235,SPC
2093,5,i1236,St
2123,13,i1237,SPG
2708,8,i1238,SPC
682,8,i1239,SPC
4643,0,i124,PTM
2661,22,i1240,SPG
993,18,i1241,SPG
1658,2,i1242,LC
2040,14,i1247,SPG
1153,4,i1248,SPC
3794,13,i1249,SPG
450,14,i125,SPG
5398,9,i1250,SPG
2557,14,i1251,SPG
777,10,i1252,SPG
2168,14,i1253,SPG
1588,22,i1254,SPG
500,4,i1255,SPC
4176,5,i1256,St
5098,14,i1257,SPG
3419,0,i1258,PTM
2087,14,i1259,SPG
1484,10,i1260,SPG
1879,14,i1265,SPG
357,8,i1266,SPC
5387,10,i1267,SPG
155,3,i1268,LC
185,20,i1269,SPG
3294,8,i1270,SPC
2176,6,i1271,EC
3665,14,i1272,SPG
2732,14,i1273,SPG
3163,10,i1274,SPG
5506,14,i1275,SPG
4229,19,i1276,SPG
4031,10,i1277,SPG
219,2,i1278,LC
1395,8,i1283,SPC
5449,2,i1285,LC
286,10,i1286,SPG
4932,12,i1287,St
4443,8,i1288,SPC
5677,11,i1290,St
293,17,i1291,PTM
5214,18,i1292,SPG
4329,7,i1293,St
4412,14,i1294,SPG
5262,7,i1296,St
1296,18,i13,SPG
5003,16,i1301,SPG
4,8,i1303,SPC
2461,11,i1304,St
3564,12,i1305,St
4380,18,i1306,SPG
3150,8,i1307,SPC
1595,6,i1308,EC
4466,12,i1309,St
826,20,i131,SPG
627,16,i1310,SPG
1732,3,i1311,LC
2272,8,i1312,SPC
3104,8,i1313,SPC
5100,5,i1319,St
66,24,i132,PTM
4059,9,i1320,SPG
3404,2,i1321,LC
5797,11,i1322,St
5607,4,i1323,SPC
1849,8,i1324,SPC
3602,2,i1325,LC
1306,8,i1326,SPC
3098,1,i1327,PTM
1932,7,i1328,St
2551,10,i1329,SPG
4322,20,i133,SPG
1604,4,i1330,SPC
1083,14,i1332,SPG
1382,13,i1337,SPG
3892,1,i134,PTM
3410,1,i1340,PTM
1357,2,i1341,LC
4311,11,i1342,St
4449,9,i1343,SPG
1747,5,i1344,St
2970,11,i1345,St
4989,8,i1346,SPC
231,3,i1347,LC
5345,10,i1349,SPG
276,2,i135,LC
1474,20,i1350,SPG
3333,12,i1355,St
3977,12,i1356,St
5556,8,i1357,SPC
2257,6,i1358,EC
1777,24,i1359,PTM
4871,18,i136,SPG
1341,1,i1360,PTM
3026,5,i1361,St
1312,7,i1362,St
978,5,i1363,St
2576,1,i1364,PTM
5178,18,i1365,SPG
3071,8,i1366,SPC
4753,5,i1367,St
4679,5,i1368,St
2705,10,i137,SPG
4419,2,i1373,LC
751,1,i1374,PTM
839,22,i1375,SPG
4433,5,i1376,St
5690,18,i1377,SPG
4908,2,i1378,LC
2692,4,i138,SPC
1731,20,i1380,SPG
3858,12,i1381,St
4315,17,i1382,PTM
569,0,i1383,PTM
2752,8,i1384,SPC
4832,8,i1385,SPC
663,4,i1386,SPC
1170,6,i139,EC
1426,8,i1391,SPC
251,2,i1392,LC
4899,11,i1393,St
174,8,i1394,SPC
226,1,i1395,PTM
4879,10,i1396,SPG
5318,3,i1397,LC
5699,8,i1398,SPC
4555,20,i1399,SPG
3330,5,i14,St
2041,8,i1400,SPC
2616,10,i1402,SPG
5879,4,i1403,SPC
4505,10,i1404,SPG
455,8,i1409,SPC
1828,1,i141,PTM
3823,4,i1410,SPC
4275,8,i1411,SPC
444,5,i1412,St
1128,8,i1414,SPC
5456,8,i1415,SPC
3086,18,i1416,SPG
3885,7,i1417,St
5811,4,i1418,SPC
4219,4,i1419,SPC
2081,9,i1420,SPG
4950,0,i1421,PTM
1365,8,i1427,SPC
1406,8,i1428,SPC
4242,8,i1429,SPC
3504,8,i143,SPC
5099,19,i1430,SPG
5308,8,i1431,SPC
3458,8,i1432,SPC
3468,8,i1433,SPC
2623,3,i1434,LC
426,14,i1435,SPG
2540,8,i1436,SPC
618,0,i1437,PTM
5758,8,i1438,SPC
5547,2,i1439,LC
1726,8,i1440,SPC
4624,11,i1445,St
1627,12,i1446,St
2707,8,i1447,SPC
5751,18,i1448,SPG
5485,18,i1449,SPG
4286,8,i1451,SPC
4404,10,i1452,SPG
525,10,i1453,SPG
1118,12,i1454,St
3610,7,i1455,St
3992,1,i1456,PTM
5348,24,i1457,PTM
5470,3,i1463,LC
1815,14,i1464,SPG
4640,0,i1465,PTM
2104,24,i1466,PTM
2918,2,i1469,LC
841,19,i1470,SPG
130,10,i1471,SPG
6,19,i1472,SPG
1523,14,i1473,SPG
2607,6,i1474,EC
584,11,i1475,St
2422,14,i1481,SPG
1180,8,i1482,SPC
4703,10,i1483,SPG
2888,22,i1484,SPG
5661,11,i1485,St
5602,6,i1487,EC
2793,6,i1488,EC
606,6,i1489,EC
5539,18,i149,SPG
4401,5,i1490,St
5265,10,i1492,SPG
3585,5,i1494,St
2621,12,i1499,St
1943,17,i15,PTM
3392,8,i150,SPC
2985,2,i1500,LC
3378,18,i1501,SPG
2755,5,i1502,St
35,6,i1503,EC
2946,2,i1505,LC
3635,8,i1506,SPC
3847,11,i1507,St
4592,22,i1508,SPG
5120,5,i1509,St
4767,8,i151,SPC
4912,14,i1511,SPG
4597,10,i1512,SPG
2466,2,i1517,LC
5442,0,i1518,PTM
5558,16,i1519,SPG
1268,12,i152,St
4281,1,i1520,PTM
774,16,i1521,SPG
1783,20,i1522,SPG
1250,2,i1523,LC
3101,8,i1524,SPC
5698,0,i1525,PTM
211,2,i1526,LC
2156,1,i1527,PTM
3821,2,i1528,LC
4629,1,i1529,PTM
5530,6,i153,EC
4076,2,i1530,LC
233,10,i1535,SPG
3498,0,i1536,PTM
807,8,i1537,SPC
275,6,i1538,EC
2583,9,i1539,SPG
2083,3,i154,LC
4593,13,i1540,SPG
4489,8,i1541,SPC
4828,1,i1542,PTM
1820,19,i1543,SPG
4009,8,i1544,SPC
2590,8,i1545,SPC
4953,21,i1546,SPG
5022,5,i1547,St
1530,8,i1548,SPC
827,14,i155,SPG
4712,8,i1553,SPC
5849,9,i1554,SPG
368,9,i1555,SPG
154,10,i1556,SPG
596,8,i1557,SPC
1352,10,i1558,SPG
1981,2,i1559,LC
5093,10,i156,SPG
3141,10,i1560,SPG
1557,10,i1561,SPG
5599,10,i1562,SPG
995,8,i1563,SPC
1363,8,i1564,SPC
5469,8,i1565,SPC
2482,6,i1566,EC
4027,13,i157,SPG
4844,4,i1571,SPC
2950,14,i1572,SPG
5505,6,i1573,EC
5763,16,i1574,SPG
1177,2,i1575,LC
2494,9,i1576,SPG
386,24,i1577,PTM
1200,20,i1578,SPG
3057,20,i1579,SPG
295,1,i158,PTM
2078,10,i1580,SPG
2441,0,i1581,PTM
1291,22,i1582,SPG
3617,24,i1583,PTM
3760,9,i1584,SPG
2143,1,i1589,PTM
3482,14,i159,SPG
1973,23,i1591,SPG
5299,20,i1592,SPG
632,12,i1593,St
4152,14,i1594,SPG
1968,20,i1595,SPG
4558,8,i1596,SPC
5346,3,i1597,LC
4627,13,i1598,SPG
3499,13,i1599,SPG
5475,2,i16,LC
3443,1,i160,PTM
1782,5,i1601,St
343,4,i1607,SPC
3212,1,i1608,PTM
3673,0,i1609,PTM
739,7,i161,St
5718,10,i1610,SPG
5545,2,i1611,LC
2130,2,i1612,LC
5624,14,i1613,SPG
5438,3,i1614,LC
3912,14,i1615,SPG
1076,13,i1616,SPG
2348,24,i1617,PTM
3097,3,i1618,LC
3312,12,i162,St
542,14,i1625,SPG
3245,6,i1626,EC
4719,16,i1627,SPG
2573,8,i1628,SPC
358,7,i1629,St
626,8,i1630,SPC
3572,8,i1631,SPC
101,24,i1632,PTM
2937,8,i1633,SPC
884,0,i1634,PTM
4562,1,i1635,PTM
1193,7,i1637,St
4270,14,i1638,SPG
416,4,i1643,SPC
4026,3,i1645,LC
846,1,i1646,PTM
3174,1,i1647,PTM
3374,20,i1648,SPG
3456,24,i1649,PTM
4623,23,i1650,SPG
1844,24,i1651,PTM
3284,24,i1652,PTM
1926,10,i1653,SPG
603,10,i1654,SPG
4436,1,i1655,PTM
1003,9,i1656,SPG
354,5,i1661,St
5320,8,i1662,SPC
4273,0,i1663,PTM
1738,12,i1664,St
1578,10,i1665,SPG
436,9,i1666,SPG
4295,5,i1667,St
5194,6,i1668,EC
2523,8,i1669,SPC
3669,12,i167,St
5557,14,i1670,SPG
5533,19,i1671,SPG
3593,18,i1672,SPG
3340,8,i1673,SPC
535,13,i1674,SPG
1394,19,i1679,SPG
5339,11,i168,St
3959,2,i1680,LC
1845,6,i1681,EC
4520,2,i1683,LC
1899,4,i1684,SPC
506,5,i1685,St
4261,24,i1686,PTM
958,2,i1687,LC
3200,10,i1688,SPG
515,22,i1689,SPG
3417,19,i169,SPG
5727,24,i1690,PTM
3803,4,i1691,SPC
1031,10,i1692,SPG
2167,14,i1697,SPG
3488,10,i1698,SPG
4393,1,i1699,PTM
3143,14,i170,SPG
5582,19,i1700,SPG
37,10,i1701,SPG
3121,14,i1703,SPG
3132,10,i1704,SPG
4674,1,i1705,PTM
5014,8,i1707,SPC
3129,14,i1708,SPG
1022,10,i1709,SPG
4493,19,i171,SPG
1919,8,i1710,SPC
1313,2,i1715,LC
2271,6,i1716,EC
1162,7,i1717,St
3648,12,i1718,St
5577,10,i1719,SPG
3580,12,i172,St
5382,12,i1720,St
1174,6,i1721,EC
3288,12,i1722,St
2340,12,i1723,St
609,18,i1724,SPG
4668,11,i1725,St
5580,12,i1727,St
669,6,i1728,EC
3698,5,i173,St
968,6,i1733,EC
4320,12,i1734,St
2492,10,i1735,SPG
5399,2,i1736,LC
3717,3,i1737,LC
4918,10,i1738,SPG
3849,13,i1739,SPG
3250,12,i174,St
5283,11,i1740,St
3693,5,i1741,St
1380,5,i1742,St
4720,7,i1743,St
2457,19,i1744,SPG
3933,20,i1745,SPG
5139,10,i1746,SPG
4655,17,i175,PTM
5416,8,i1751,SPC
1099,8,i1753,SPC
4588,23,i1754,SPG
1715,20,i1755,SPG
4550,8,i1756,SPC
2338,22,i1757,SPG
5361,19,i1758,SPG
4792,24,i1759,PTM
3652,10,i176,SPG
4438,24,i1760,PTM
1710,1,i1761,PTM
2871,3,i1762,LC
2451,11,i1763,St
4961,6,i1764,EC
3043,2,i1769,LC
2768,9,i177,SPG
5686,13,i1770,SPG
2327,10,i1771,SPG
1034,1,i1772,PTM
3304,6,i1773,EC
1810,12,i1774,St
2560,8,i1775,SPC
813,10,i1776,SPG
2917,2,i1777,LC
2335,10,i1778,SPG
3080,2,i1779,LC
642,0,i178,PTM
3836,10,i1781,SPG
3998,14,i1787,SPG
3165,10,i1789,SPG
3077,9,i179,SPG
14,9,i1790,SPG
3857,10,i1791,SPG
2245,4,i1792,SPC
3971,9,i1793,SPG
1120,4,i1794,SPC
3218,10,i1795,SPG
45,10,i1796,SPG
2646,24,i1797,PTM
2527,1,i1798,PTM
5199,24,i1799,PTM
2507,14,i1805,SPG
5375,8,i1806,SPC
4463,1,i1807,PTM
1930,2,i1808,LC
4878,24,i1809,PTM
5206,3,i1810,LC
698,10,i1811,SPG
4203,3,i1812,LC
2736,2,i1813,LC
2398,8,i1814,SPC
4446,10,i1815,SPG
4363,11,i1818,St
5465,24,i1823,PTM
636,11,i1824,St
693,0,i1825,PTM
2331,8,i1826,SPC
4564,2,i1827,LC
435,10,i1828,SPG
1531,20,i1829,SPG
5663,8,i1830,SPC
4381,10,i1831,SPG
3128,1,i1832,PTM
5691,22,i1833,SPG
1517,8,i1835,SPC
524,11,i1836,St
5135,1,i1841,PTM
1317,12,i1843,St
3727,11,i1844,St
2050,7,i1845,St
1230,1,i1846,PTM
2563,10,i1847,SPG
505,14,i1848,SPG
1279,2,i1849,LC
1182,6,i185,EC
3532,2,i1850,LC
4814,1,i1851,PTM
1284,20,i1852,SPG
4997,19,i1853,SPG
4234,8,i1854,SPC
4615,8,i1859,SPC
1369,20,i186,SPG
4576,8,i1860,SPC
5771,8,i1861,SPC
628,8,i1862,SPC
326,8,i1863,SPC
4639,20,i1864,SPG
3901,6,i1865,EC
1097,14,i1866,SPG
2195,8,i1867,SPC
496,6,i1868,EC
3231,0,i1869,PTM
339,1,i187,PTM
3632,24,i1870,PTM
3449,8,i1872,SPC
3215,2,i1877,LC
5227,20,i1878,SPG
4663,5,i1879,St
3236,6,i188,EC
4546,4,i1880,SPC
4257,8,i1881,SPC
905,13,i1882,SPG
743,6,i1883,EC
2627,5,i1884,St
5604,14,i1885,SPG
2615,5,i1886,St
5522,18,i1887,SPG
3276,2,i1888,LC
3536,8,i1889,SPC
4378,19,i189,SPG
4382,8,i1890,SPC
5762,20,i1895,SPG
1072,18,i1897,SPG
3623,14,i1898,SPG
5182,1,i1899,PTM
4206,10,i190,SPG
4386,9,i1900,SPG
4988,8,i1901,SPC
938,3,i1903,LC
3603,9,i1904,SPG
4733,14,i1905,SPG
31,19,i1906,SPG
1403,6,i1908,EC
1499,10,i191,SPG
590,2,i1913,LC
2129,14,i1914,SPG
4462,8,i1915,SPC
5441,24,i1916,PTM
3867,24,i1917,PTM
5591,9,i1918,SPG
1991,3,i1919,LC
1041,11,i192,St
1191,20,i1920,SPG
5222,14,i1921,SPG
5612,10,i1923,SPG
4606,19,i1924,SPG
2753,0,i1925,PTM
2757,24,i1926,PTM
4028,0,i193,PTM
3403,11,i1931,St
5697,10,i1932,SPG
4110,13,i1933,SPG
1791,10,i1934,SPG
534,1,i1935,PTM
5851,1,i1936,PTM
1331,14,i1937,SPG
1978,11,i1938,St
2213,3,i194,LC
4578,8,i1940,SPC
2420,5,i1941,St
5316,4,i1942,SPC
1019,10,i1943,SPG
4002,18,i1944,SPG
2547,9,i195,SPG
2207,10,i196,SPG
2309,20,i198,SPG
264,7,i203,St
1822,22,i204,SPG
2920,10,i205,SPG
4573,0,i206,PTM
1234,1,i207,PTM
1513,10,i208,SPG
4421,0,i209,PTM
2386,3,i210,LC
1597,3,i211,LC
4024,7,i212,St
2390,1,i213,PTM
3899,9,i215,SPG
3196,8,i216,SPC
5430,9,i221,SPG
3997,6,i222,EC
1717,9,i223,SPG
5032,6,i224,EC
1273,8,i225,SPC
5154,0,i226,PTM
5076,17,i227,PTM
13,10,i228,SPG
586,22,i229,SPG
5426,3,i23,LC
5096,9,i230,SPG
2005,8,i231,SPC
1482,5,i232,St
5476,6,i233,EC
1190,4,i234,SPC
1680,11,i239,St
4610,8,i24,SPC
4106,8,i240,SPC
126,11,i241,St
1827,9,i242,SPG
5853,7,i243,St
5106,2,i244,LC
4739,10,i245,SPG
2096,1,i246,PTM
1652,10,i247,SPG
5807,20,i248,SPG
5217,12,i249,St
5356,22,i25,SPG
844,2,i250,LC
1470,0,i251,PTM
4448,5,i252,St
4636,9,i257,SPG
1722,10,i259,SPG
4314,14,i26,SPG
1475,3,i260,LC
3329,3,i261,LC
4647,10,i262,SPG
4572,0,i263,PTM
3126,10,i264,SPG
4232,8,i265,SPC
314,1,i266,PTM
3926,19,i267,SPG
398,10,i268,SPG
3457,6,i27,EC
5855,2,i270,LC
3106,5,i275,St
4490,1,i276,PTM
2943,8,i277,SPC
5838,2,i278,LC
3563,1,i279,PTM
3993,10,i28,SPG
843,22,i280,SPG
4978,10,i281,SPG
188,8,i282,SPC
3427,5,i283,St
5425,5,i284,St
5845,2,i285,LC
1262,24,i286,PTM
747,0,i287,PTM
1225,8,i288,SPC
3769,8,i29,SPC
2928,2,i293,LC
4947,13,i294,SPG
2777,2,i295,LC
4870,10,i296,SPG
3496,3,i297,LC
2717,10,i298,SPG
3178,3,i299,LC
2393,19,i30,SPG
4477,9,i300,SPG
434,8,i301,SPC
1144,3,i302,LC
2675,11,i303,St
3059,0,i304,PTM
2948,3,i305,LC
4765,10,i306,SPG
5495,17,i31,PTM
5702,12,i311,St
2062,8,i312,SPC
651,20,i313,SPG
3691,9,i314,SPG
3448,8,i315,SPC
2066,20,i316,SPG
3745,3,i317,LC
3811,0,i318,PTM
5501,9,i319,SPG
3792,9,i32,SPG
1254,20,i320,SPG
418,12,i321,St
249,1,i322,PTM
2939,10,i323,SPG
3377,8,i324,SPC
2111,12,i329,St
405,5,i33,St
3574,22,i330,SPG
1457,13,i331,SPG
4289,8,i332,SPC
175,2,i333,LC
5852,13,i334,SPG
1063,8,i335,SPC
2838,1,i336,PTM
428,22,i337,SPG
718,9,i338,SPG
2372,1,i339,PTM
831,6,i34,EC
4667,13,i340,SPG
3917,18,i341,SPG
4090,12,i347,St
4459,2,i348,LC
4726,6,i349,EC
1316,8,i350,SPC
3436,2,i351,LC
574,8,i352,SPC
5021,1,i353,PTM
4169,15,i354,St
3824,0,i355,PTM
3666,1,i356,PTM
2696,20,i357,SPG
3321,1,i358,PTM
1173,1,i36,PTM
5016,5,i360,St
116,5,i365,St
390,14,i366,SPG
733,14,i367,SPG
773,19,i368,SPG
3187,3,i369,LC
5560,5,i370,St
3207,3,i371,LC
334,6,i372,EC
3050,6,i373,EC
2303,12,i374,St
1195,8,i375,SPC
3866,19,i377,SPG
750,9,i378,SPG
1169,2,i383,LC
3221,12,i384,St
4907,9,i385,SPG
5518,12,i386,St
2844,8,i387,SPC
5118,0,i388,PTM
2121,11,i389,St
4700,0,i390,PTM
2656,17,i391,PTM
2859,12,i392,St
5864,0,i393,PTM
3840,13,i394,SPG
2577,12,i395,St
5025,3,i396,LC
5815,10,i401,SPG
2355,2,i402,LC
5454,10,i403,SPG
2908,20,i404,SPG
3388,3,i406,LC
2490,1,i407,PTM
5670,13,i408,SPG
3091,1,i409,PTM
4137,5,i41,St
1562,10,i411,SPG
5059,0,i412,PTM
5605,2,i413,LC
2863,8,i414,SPC
3864,12,i419,St
5372,16,i420,SPG
2534,11,i421,St
4473,13,i422,SPG
3412,7,i423,St
1662,24,i424,PTM
5860,0,i425,PTM
5038,20,i426,SPG
2600,0,i427,PTM
1115,12,i428,St
3838,2,i429,LC
4276,11,i43,St
2809,17,i430,PTM
986,8,i431,SPC
5363,3,i432,LC
2239,14,i437,SPG
3369,13,i438,SPG
5639,2,i439,LC
2797,17,i44,PTM
2924,6,i440,EC
2302,18,i441,SPG
2259,9,i442,SPG
1057,8,i443,SPC
2363,12,i444,St
1217,22,i445,SPG
3314,1,i446,PTM
1807,17,i447,PTM
4070,7,i448,St
4231,15,i449,St
4153,7,i45,St
1799,11,i450,St
4946,14,i455,SPG
2912,9,i456,SPG
539,0,i457,PTM
2169,20,i458,SPG
27,10,i459,SPG
2364,11,i46,St
2114,11,i460,St
4772,10,i461,SPG
1997,10,i462,SPG
1724,0,i463,PTM
1522,1,i464,PTM
4521,12,i465,St
4646,10,i466,SPG
2792,10,i467,SPG
5543,10,i468,SPG
2516,8,i47,SPC
5634,18,i473,SPG
466,18,i474,SPG
4022,20,i475,SPG
1664,14,i476,SPG
2369,17,i477,PTM
2170,3,i478,LC
1694,6,i479,EC
1644,8,i48,SPC
5065,6,i480,EC
1350,12,i481,St
1789,12,i482,St
33,12,i483,St
4062,3,i484,LC
2222,8,i485,SPC
1171,17,i486,PTM
5168,2,i49,LC
1541,1,i491,PTM
4943,7,i492,St
1936,11,i493,St
4803,0,i494,PTM
3152,1,i495,PTM
3979,0,i496,PTM
4650,8,i497,SPC
5451,8,i498,SPC
3147,1,i499,PTM
197,1,i5,PTM
3559,24,i50,PTM
4642,5,i500,St
2254,0,i501,PTM
4216,14,i502,SPG
372,5,i503,St
1709,20,i509,SPG
2798,24,i51,PTM
5228,8,i510,SPC
4574,8,i511,SPC
5158,1,i512,PTM
4193,11,i513,St
3490,18,i514,SPG
3195,8,i515,SPC
2010,15,i516,St
4138,1,i517,PTM
4061,8,i518,SPC
3551,6,i519,EC
4141,10,i520,SPG
3687,8,i522,SPC
4335,17,i527,PTM
2543,17,i528,PTM
1553,2,i529,LC
1902,8,i530,SPC
4863,17,i531,PTM
2412,7,i532,St
1216,1,i533,PTM
1018,11,i534,St
3722,14,i535,SPG
789,13,i536,SPG
5433,1,i537,PTM
1970,8,i539,SPC
1223,8,i54,SPC
5798,17,i545,PTM
3570,1,i546,PTM
2512,2,i547,LC
3379,10,i548,SPG
5125,4,i549,SPC
3103,2,i550,LC
3637,10,i551,SPG
4886,5,i552,St
5824,0,i553,PTM
4996,8,i554,SPC
4019,4,i555,SPC
3118,8,i556,SPC
1305,4,i557,SPC
3052,8,i563,SPC
3493,10,i564,SPG
557,9,i565,SPG
3189,8,i566,SPC
3656,17,i567,PTM
5705,10,i568,SPG
585,15,i569,St
1839,11,i570,St
5187,0,i571,PTM
4757,0,i572,PTM
2820,20,i573,SPG
394,1,i574,PTM
4134,0,i575,PTM
916,24,i576,PTM
5706,13,i581,SPG
3944,24,i583,PTM
2374,2,i584,LC
794,20,i585,SPG
2738,19,i586,SPG
4029,0,i587,PTM
1687,8,i588,SPC
2664,19,i589,SPG
4237,8,i59,SPC
3965,15,i590,St
5554,15,i591,St
4501,0,i593,PTM
4151,9,i594,SPG
526,6,i599,EC
3039,1,i6,PTM
635,2,i60,LC
1455,10,i600,SPG
723,13,i601,SPG
337,19,i602,SPG
3433,6,i603,EC
5765,19,i604,SPG
4296,17,i605,PTM
327,20,i606,SPG
3031,12,i607,St
1105,8,i608,SPC
433,2,i609,LC
2034,5,i61,St
5411,10,i610,SPG
1965,9,i611,SPG
1194,14,i612,SPG
1122,12,i617,St
3540,10,i619,SPG
4117,10,i62,SPG
5324,8,i620,SPC
442,10,i621,SPG
2571,2,i622,LC
3434,8,i623,SPC
552,3,i624,LC
93,16,i625,SPG
469,17,i626,PTM
2343,17,i627,PTM
5510,20,i628,SPG
3265,10,i629,SPG
3281,2,i63,LC
2546,0,i630,PTM
570,18,i635,SPG
4397,9,i636,SPG
2807,12,i637,St
2336,13,i638,SPG
2439,8,i639,SPC
5488,6,i64,EC
4162,14,i640,SPG
4836,19,i641,SPG
5641,13,i642,SPG
5631,18,i643,SPG
3752,8,i644,SPC
5490,0,i645,PTM
3767,0,i646,PTM
4717,14,i647,SPG
780,10,i648,SPG
1566,8,i65,SPC
967,12,i653,St
4880,11,i654,St
1471,11,i655,St
963,13,i656,SPG
1106,11,i657,St
1000,13,i658,SPG
2063,7,i659,St
4083,4,i66,SPC
2316,0,i660,PTM
2068,11,i661,St
4957,0,i662,PTM
1996,9,i663,SPG
3180,14,i664,SPG
4644,12,i665,St
167,9,i67,SPG
830,1,i671,PTM
983,2,i672,LC
1043,8,i673,SPC
5835,11,i674,St
1761,0,i675,PTM
5421,10,i676,SPG
2278,8,i677,SPC
5804,19,i678,SPG
78,22,i679,SPG
1720,2,i68,LC
2850,6,i680,EC
3588,12,i681,St
2761,8,i682,SPC
5513,12,i684,St
1412,15,i689,St
1414,14,i69,SPG
3151,2,i690,LC
3908,10,i691,SPG
2242,15,i692,St
837,2,i693,LC
1183,2,i694,LC
1951,0,i695,PTM
2145,13,i696,SPG
507,10,i697,SPG
5728,22,i698,SPG
5165,13,i699,SPG
5787,12,i7,St
1963,1,i70,PTM
2146,14,i701,SPG
2567,10,i702,SPG
3138,1,i707,PTM
